Advisory,Impact,CVE,Last Updated,Version
"Cisco NX-OS Software DHCPv6 Relay Agent Denial of Service Vulnerability
High
CVE-2024-20446
2024 Aug 28 1.0",High,CVE-2024-20446,2024 Aug 28,1.0
"Cisco NX-OS Software Python Sandbox Escape Vulnerabilities
Medium
CVE-2024-20284
CVE-2024-20285 ...
2024 Aug 28 1.0",Medium,"CVE-2024-20284
CVE-2024-20285 ...",2024 Aug 28,1.0
"Cisco NX-OS Software Command Injection Vulnerability
Medium
CVE-2024-20289
2024 Aug 28 1.0",Medium,CVE-2024-20289,2024 Aug 28,1.0
"Cisco NX-OS Software Bash Arbitrary Code Execution and Privilege Escalation Vulnerabilities
Medium
CVE-2024-20411
CVE-2024-20413
2024 Aug 28 1.0",Medium,"CVE-2024-20411
CVE-2024-20413",2024 Aug 28,1.0
"Cisco Application Policy Infrastructure Controller Privilege Escalation Vulnerability
Medium
CVE-2024-20478
2024 Aug 28 1.0",Medium,CVE-2024-20478,2024 Aug 28,1.0
"Cisco Application Policy Infrastructure Controller Unauthorized Policy Actions Vulnerability
Medium
CVE-2024-20279
2024 Aug 28 1.0",Medium,CVE-2024-20279,2024 Aug 28,1.0
"cURL and libcurl Vulnerability Affecting Cisco Products: October 2023
High
CVE-2023-38545
2024 Aug 27 1.7",High,CVE-2023-38545,2024 Aug 27,1.7
"Cisco Identity Services Engine REST API Blind SQL Injection Vulnerabilities
Medium
CVE-2024-20417
2024 Aug 22 1.1",Medium,CVE-2024-20417,2024 Aug 22,1.1
"Cisco Unified Communications Manager Denial of Service Vulnerability
High
CVE-2024-20375
2024 Aug 21 1.0",High,CVE-2024-20375,2024 Aug 21,1.0
"Remote Unauthenticated Code Execution Vulnerability in OpenSSH Server (regreSSHion): July 2024
High
CVE-2024-6387
2024 Aug 21 1.13",High,CVE-2024-6387,2024 Aug 21,1.13
"Cisco Identity Services Engine Sensitive Information Disclosure Vulnerability
Medium
CVE-2024-20466
2024 Aug 21 1.0",Medium,CVE-2024-20466,2024 Aug 21,1.0
"Cisco Identity Services Engine Cross-Site Request Forgery Vulnerability
Medium
CVE-2024-20486
2024 Aug 21 1.0",Medium,CVE-2024-20486,2024 Aug 21,1.0
"Cisco Unified Communications Manager Cross-Site Scripting Vulnerability
Medium
CVE-2024-20488
2024 Aug 21 1.0",Medium,CVE-2024-20488,2024 Aug 21,1.0
"RADIUS Protocol Spoofing Vulnerability (Blast-RADIUS): July 2024
High
CVE-2024-3596
2024 Aug 19 1.9",High,CVE-2024-3596,2024 Aug 19,1.9
"Cisco Secure Web Appliance Content Encoding Filter Bypass Vulnerability
Medium
CVE-2023-20215
2024 Aug 14 1.3",Medium,CVE-2023-20215,2024 Aug 14,1.3
"Cisco Small Business SPA300 Series and SPA500 Series IP Phones Web UI Vulnerabilities
Critical
CVE-2024-20450
CVE-2024-20451 ...
2024 Aug 07 1.0",Critical,"CVE-2024-20450
CVE-2024-20451 ...",2024 Aug 07,1.0
"Cisco Smart Software Manager On-Prem Password Change Vulnerability
Critical
CVE-2024-20419
2024 Aug 07 1.1",Critical,CVE-2024-20419,2024 Aug 07,1.1
"Cisco Identity Services Engine Stored Cross-Site Scripting Vulnerabilities
Medium
CVE-2024-20443
CVE-2024-20479
2024 Aug 07 1.0",Medium,"CVE-2024-20443
CVE-2024-20479",2024 Aug 07,1.0
"Cisco IOS XR Software iPXE Boot Signature Bypass Vulnerability
Medium
CVE-2023-20236
2024 Aug 07 3.0",Medium,CVE-2023-20236,2024 Aug 07,3.0
"Cisco Secure Email Gateway Arbitrary File Write Vulnerability
Critical
CVE-2024-20401
2024 Jul 17 1.0",Critical,CVE-2024-20401,2024 Jul 17,1.0
"Cisco Secure Web Appliance Privilege Escalation Vulnerability
High
CVE-2024-20435
2024 Jul 17 1.0",High,CVE-2024-20435,2024 Jul 17,1.0
"Cisco Identity Services Engine Arbitrary File Upload Vulnerability
High
CVE-2024-20296
2024 Jul 17 1.0",High,CVE-2024-20296,2024 Jul 17,1.0
"Cisco Intelligent Node Software Static Key Vulnerability
High
CVE-2024-20323
2024 Jul 17 1.0",High,CVE-2024-20323,2024 Jul 17,1.0
"Cisco Webex App Vulnerabilities
Medium
CVE-2024-20395
CVE-2024-20396
2024 Jul 17 1.0",Medium,"CVE-2024-20395
CVE-2024-20396",2024 Jul 17,1.0
"Cisco RV340 and RV345 Dual WAN Gigabit VPN Routers Authenticated Remote Code Execution Vulnerability
Medium
CVE-2024-20416
2024 Jul 17 1.0",Medium,CVE-2024-20416,2024 Jul 17,1.0
"Cisco Expressway Series Open Redirect Vulnerability
Medium
CVE-2024-20400
2024 Jul 17 1.0",Medium,CVE-2024-20400,2024 Jul 17,1.0
"Cisco Secure Email Gateway Server-Side Template Injection Vulnerability
Medium
CVE-2024-20429
2024 Jul 17 1.0",Medium,CVE-2024-20429,2024 Jul 17,1.0
"Cisco IOS XR Software Secure Boot Bypass Vulnerability
High
CVE-2024-20456
2024 Jul 10 1.0",High,CVE-2024-20456,2024 Jul 10,1.0
"Cisco NX-OS Software CLI Command Injection Vulnerability
Medium
CVE-2024-20399
2024 Jul 03 1.2",Medium,CVE-2024-20399,2024 Jul 03,1.2
"Cisco Integrated Management Controller Web-Based Management Interface Command Injection Vulnerability
High
CVE-2024-20356
2024 Jun 28 1.2",High,CVE-2024-20356,2024 Jun 28,1.2
"Cisco Integrated Management Controller CLI Command Injection Vulnerability
High
CVE-2024-20295
2024 Jun 28 1.2",High,CVE-2024-20295,2024 Jun 28,1.2
"Cisco Finesse Web-Based Management Interface Vulnerabilities
Medium
CVE-2024-20404
CVE-2024-20405
2024 Jun 14 1.2",Medium,"CVE-2024-20404
CVE-2024-20405",2024 Jun 14,1.2
"Cisco Secure Email and Web Manager, Secure Email Gateway, and Secure Web Appliance Cross-Site Scripting Vulnerabilities
Medium
CVE-2024-20256
CVE-2024-20257 ...
2024 Jun 12 1.1",Medium,"CVE-2024-20256
CVE-2024-20257 ...",2024 Jun 12,1.1
"Cisco Secure Email Gateway HTTP Response Splitting Vulnerability
Medium
CVE-2024-20392
2024 Jun 12 1.1",Medium,CVE-2024-20392,2024 Jun 12,1.1
"Cisco Webex Meetings Meeting Information and Metadata Issue June 2024
Informational
2024 Jun 11 1.3",Informational,,2024 Jun 11,1.3
"Cisco OpenDNS Pulsing DNS Denial of Service Attack
Informational
2024 May 23 1.1",Informational,,2024 May 23,1.1
"Cisco Firepower Management Center Software SQL Injection Vulnerability
High
CVE-2024-20360
2024 May 22 1.1",High,CVE-2024-20360,2024 May 22,1.1
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software for Firepower 2100 Series Appliances SSL/TLS Denial of Service Vulnerability
High
CVE-2023-20006
2024 May 22 1.2",High,CVE-2023-20006,2024 May 22,1.2
"Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software DNS Inspection Denial of Service Vulnerability
High
CVE-2022-20760
2024 May 22 2.0",High,CVE-2022-20760,2024 May 22,2.0
"Multiple Cisco Products Snort 3 HTTP Intrusion Prevention System Rule Bypass Vulnerability
Medium
CVE-2024-20363
2024 May 22 1.0",Medium,CVE-2024-20363,2024 May 22,1.0
"Cisco Firepower Threat Defense Software Encrypted Archive File Policy Bypass Vulnerability
Medium
CVE-2024-20261
2024 May 22 1.0",Medium,CVE-2024-20261,2024 May 22,1.0
"Cisco Firepower Management Center Software Object Group Access Control List Bypass Vulnerability
Medium
CVE-2024-20361
2024 May 22 1.0",Medium,CVE-2024-20361,2024 May 22,1.0
"Cisco Adaptive Security Appliance and Firepower Threat Defense Software Authorization Bypass Vulnerability
Medium
CVE-2024-20355
2024 May 22 1.0",Medium,CVE-2024-20355,2024 May 22,1.0
"Cisco Adaptive Security Appliance and Firepower Threat Defense Software Inactive-to-Active ACL Bypass Vulnerability
Medium
CVE-2024-20293
2024 May 22 1.0",Medium,CVE-2024-20293,2024 May 22,1.0
"Multiple Cisco Unified Communications Products Unauthenticated API High CPU Utilization Denial of Service Vulnerability
High
CVE-2023-20259
2024 May 17 1.1",High,CVE-2023-20259,2024 May 17,1.1
"Cisco Crosswork Network Services Orchestrator Vulnerabilities
High
CVE-2024-20326
CVE-2024-20389
2024 May 15 1.0",High,"CVE-2024-20326
CVE-2024-20389",2024 May 15,1.0
"Cisco Crosswork Network Services Orchestrator Privilege Escalation Vulnerability
High
CVE-2024-20366
2024 May 15 1.0",High,CVE-2024-20366,2024 May 15,1.0
"ConfD CLI Privilege Escalation and Arbitrary File Read and Write Vulnerabilities
High
CVE-2024-20326
CVE-2024-20389
2024 May 15 1.0",High,"CVE-2024-20326
CVE-2024-20389",2024 May 15,1.0
"Cisco Secure Client for Windows with Network Access Manager Module Privilege Escalation Vulnerability
Medium
CVE-2024-20391
2024 May 15 1.0",Medium,CVE-2024-20391,2024 May 15,1.0
"Cisco Crosswork Network Services Orchestrator Open Redirect Vulnerability
Medium
CVE-2024-20369
2024 May 15 1.0",Medium,CVE-2024-20369,2024 May 15,1.0
"Cisco AppDynamics Network Visibility Service Denial of Service Vulnerability
Medium
CVE-2024-20394
2024 May 15 1.0",Medium,CVE-2024-20394,2024 May 15,1.0
"Cisco IP Phone 6800, 7800, and 8800 Series with Multiplatform Firmware Vulnerabilities
High
CVE-2024-20357
CVE-2024-20376 ...
2024 May 01 1.0",High,"CVE-2024-20357
CVE-2024-20376 ...",2024 May 01,1.0
"Cisco Adaptive Security Appliance and Firepower Threat Defense Software Web Services Denial of Service Vulnerability
High
CVE-2024-20353
2024 Apr 24 1.0",High,CVE-2024-20353,2024 Apr 24,1.0
"Cisco Adaptive Security Appliance and Firepower Threat Defense Software Persistent Local Code Execution Vulnerability
High
CVE-2024-20359
2024 Apr 24 1.0",High,CVE-2024-20359,2024 Apr 24,1.0
"Cisco Adaptive Security Appliance and Firepower Threat Defense Software Command Injection Vulnerability
Medium
CVE-2024-20358
2024 Apr 24 1.0",Medium,CVE-2024-20358,2024 Apr 24,1.0
"Cisco IOS and IOS XE Software SNMP Extended Named Access Control List Bypass Vulnerability
Medium
CVE-2024-20373
2024 Apr 17 1.0",Medium,CVE-2024-20373,2024 Apr 17,1.0
"Cisco IOS Software for Catalyst 6000 Series Switches Denial of Service Vulnerability
High
CVE-2024-20276
2024 Apr 04 1.1",High,CVE-2024-20276,2024 Apr 04,1.1
"Cisco Nexus Dashboard Fabric Controller Plug and Play Arbitrary File Read Vulnerability
High
CVE-2024-20348
2024 Apr 03 1.0",High,CVE-2024-20348,2024 Apr 03,1.0
"Cisco TelePresence Management Suite Cross-Site Scripting Vulnerability
Medium
CVE-2024-20334
2024 Apr 03 1.0",Medium,CVE-2024-20334,2024 Apr 03,1.0
"Cisco Small Business RV016, RV042, RV042G, RV082, RV320, and RV325 Routers Cross-Site Scripting Vulnerability
Medium
CVE-2024-20362
2024 Apr 03 1.0",Medium,CVE-2024-20362,2024 Apr 03,1.0
"Cisco Nexus Dashboard Privilege Escalation Vulnerability
Medium
CVE-2024-20282
2024 Apr 03 1.0",Medium,CVE-2024-20282,2024 Apr 03,1.0
"Cisco Nexus Dashboard Orchestrator Unauthorized Policy Actions Vulnerability
Medium
CVE-2024-20302
2024 Apr 03 1.0",Medium,CVE-2024-20302,2024 Apr 03,1.0
"Cisco Nexus Dashboard Information Disclosure Vulnerability
Medium
CVE-2024-20283
2024 Apr 03 1.0",Medium,CVE-2024-20283,2024 Apr 03,1.0
"Cisco Nexus Dashboard and Nexus Dashboard Hosted Services Cross-Site Request Forgery Vulnerability
Medium
CVE-2024-20281
2024 Apr 03 1.0",Medium,CVE-2024-20281,2024 Apr 03,1.0
"Cisco Identity Services Engine Server-Side Request Forgery Vulnerability
Medium
CVE-2024-20332
2024 Apr 03 1.0",Medium,CVE-2024-20332,2024 Apr 03,1.0
"Cisco Identity Services Engine Cross-Site Request Forgery Vulnerability
Medium
CVE-2024-20368
2024 Apr 03 1.0",Medium,CVE-2024-20368,2024 Apr 03,1.0
"Cisco Enterprise Chat and Email Cross-Site Scripting Vulnerability
Medium
CVE-2024-20367
2024 Apr 03 1.0",Medium,CVE-2024-20367,2024 Apr 03,1.0
"Cisco Unified Communications Manager IM & Presence Service Cross-Site Scripting Vulnerability
Medium
CVE-2024-20310
2024 Apr 03 1.0",Medium,CVE-2024-20310,2024 Apr 03,1.0
"Cisco Emergency Responder Cross-Site Request Forgery and Directory Traversal Vulnerabilities
Medium
CVE-2024-20347
CVE-2024-20352
2024 Apr 03 1.0",Medium,"CVE-2024-20347
CVE-2024-20352",2024 Apr 03,1.0
"Cisco IOS XE Software Unified Threat Defense Command Injection Vulnerability
Medium
CVE-2024-20306
2024 Apr 02 1.1",Medium,CVE-2024-20306,2024 Apr 02,1.1
"Cisco IOS XE Software for Wireless LAN Controllers Multicast DNS Denial of Service Vulnerability
High
CVE-2024-20303
2024 Mar 27 1.0",High,CVE-2024-20303,2024 Mar 27,1.0
"Cisco IOS and IOS XE Software Locator ID Separation Protocol Denial of Service Vulnerability
High
CVE-2024-20311
2024 Mar 27 1.0",High,CVE-2024-20311,2024 Mar 27,1.0
"Cisco IOS and IOS XE Software Intermediate System-to-Intermediate System Denial of Service Vulnerability
High
CVE-2024-20312
2024 Mar 27 1.0",High,CVE-2024-20312,2024 Mar 27,1.0
"Cisco IOS XE Software OSPFv2 Denial of Service Vulnerability
High
CVE-2024-20313
2024 Mar 27 1.0",High,CVE-2024-20313,2024 Mar 27,1.0
"Cisco IOS XE Software SD-Access Fabric Edge Node Denial of Service Vulnerability
High
CVE-2024-20314
2024 Mar 27 1.0",High,CVE-2024-20314,2024 Mar 27,1.0
"Cisco IOS and IOS XE Software Internet Key Exchange Version 1 Fragmentation Denial of Service Vulnerabilities
High
CVE-2024-20307
CVE-2024-20308
2024 Mar 27 1.0",High,"CVE-2024-20307
CVE-2024-20308",2024 Mar 27,1.0
"Cisco IOS XE Software DHCP Snooping with Endpoint Analytics Denial of Service Vulnerability
High
CVE-2024-20259
2024 Mar 27 1.0",High,CVE-2024-20259,2024 Mar 27,1.0
"Cisco Access Point Software Secure Boot Bypass Vulnerability
High
CVE-2024-20265
2024 Mar 27 1.0",High,CVE-2024-20265,2024 Mar 27,1.0
"Cisco Access Point Software Denial of Service Vulnerability
High
CVE-2024-20271
2024 Mar 27 1.0",High,CVE-2024-20271,2024 Mar 27,1.0
"Cisco IOS XE Software for Wireless LAN Controllers Privilege Escalation Vulnerability
Medium
CVE-2024-20324
2024 Mar 27 1.0",Medium,CVE-2024-20324,2024 Mar 27,1.0
"Cisco IOS XE Software Privilege Escalation Vulnerability
Medium
CVE-2024-20278
2024 Mar 27 1.0",Medium,CVE-2024-20278,2024 Mar 27,1.0
"Cisco IOS XE Software NETCONF/RESTCONF IPv4 Access Control List Bypass Vulnerability
Medium
CVE-2024-20316
2024 Mar 27 1.0",Medium,CVE-2024-20316,2024 Mar 27,1.0
"Cisco Catalyst Center Authorization Bypass Vulnerability
Medium
CVE-2024-20333
2024 Mar 27 1.0",Medium,CVE-2024-20333,2024 Mar 27,1.0
"Cisco IOS XE Software Auxiliary Asynchronous Port Denial of Service Vulnerability
Medium
CVE-2024-20309
2024 Mar 27 1.0",Medium,CVE-2024-20309,2024 Mar 27,1.0
"Cisco Aironet Access Point Software Resource Exhaustion Denial of Service Vulnerability
Medium
CVE-2024-20354
2024 Mar 27 1.0",Medium,CVE-2024-20354,2024 Mar 27,1.0
"Cisco IOS XR Software Health Check Open Port Vulnerability
Medium
CVE-2022-20821
2024 Mar 15 1.2",Medium,CVE-2022-20821,2024 Mar 15,1.2
"Cisco IOS XR Software Layer 2 Services Denial of Service Vulnerability
High
CVE-2024-20318
2024 Mar 13 1.0",High,CVE-2024-20318,2024 Mar 13,1.0
"Cisco IOS XR Software SSH Privilege Escalation Vulnerability
High
CVE-2024-20320
2024 Mar 13 1.0",High,CVE-2024-20320,2024 Mar 13,1.0
"Cisco IOS XR Software for ASR 9000 Series Aggregation Services Routers PPPoE Denial of Service Vulnerability
High
CVE-2024-20327
2024 Mar 13 1.0",High,CVE-2024-20327,2024 Mar 13,1.0
"Cisco IOS XR Software SNMP Management Plane Protection ACL Bypass Vulnerability
Medium
CVE-2024-20319
2024 Mar 13 1.0",Medium,CVE-2024-20319,2024 Mar 13,1.0
"Cisco IOS XR Software Authenticated CLI Secure Copy Protocol and SFTP Denial of Service Vulnerability
Medium
CVE-2024-20262
2024 Mar 13 1.0",Medium,CVE-2024-20262,2024 Mar 13,1.0
"Cisco IOS XR Software DHCP Version 4 Server Denial of Service Vulnerability
Medium
CVE-2024-20266
2024 Mar 13 1.0",Medium,CVE-2024-20266,2024 Mar 13,1.0
"Cisco IOS XR Software MPLS and Pseudowire Interfaces Access Control List Bypass Vulnerabilities
Medium
CVE-2024-20315
CVE-2024-20322
2024 Mar 13 1.0",Medium,"CVE-2024-20315
CVE-2024-20322",2024 Mar 13,1.0
"Cisco SD-WAN vManage Unauthenticated REST API Access Vulnerability
Critical
CVE-2023-20214
2024 Mar 12 1.2",Critical,CVE-2023-20214,2024 Mar 12,1.2
"Cisco Secure Client Carriage Return Line Feed Injection Vulnerability
High
CVE-2024-20337
2024 Mar 12 1.1",High,CVE-2024-20337,2024 Mar 12,1.1
"Cisco Duo Authentication for Windows Logon and RDP Information Disclosure Vulnerability
Medium
CVE-2024-20292
2024 Mar 08 1.1",Medium,CVE-2024-20292,2024 Mar 08,1.1
"Cisco Secure Client for Linux with ISE Posture Module Privilege Escalation Vulnerability
High
CVE-2024-20338
2024 Mar 06 1.0",High,CVE-2024-20338,2024 Mar 06,1.0
"Cisco Small Business 100, 300, and 500 Series Wireless Access Points Command Injection and Buffer Overflow Vulnerabilities
Medium
CVE-2024-20335
CVE-2024-20336
2024 Mar 06 1.0",Medium,"CVE-2024-20335
CVE-2024-20336",2024 Mar 06,1.0
"Cisco Duo Authentication for Windows Logon and RDP Authentication Bypass Vulnerability
Medium
CVE-2024-20301
2024 Mar 06 1.0",Medium,CVE-2024-20301,2024 Mar 06,1.0
"Cisco AppDynamics Controller Cross-Site Scripting Vulnerability
Medium
CVE-2024-20346
2024 Mar 06 1.0",Medium,CVE-2024-20346,2024 Mar 06,1.0
"Cisco AppDynamics Controller Path Traversal Vulnerability
Medium
CVE-2024-20345
2024 Mar 06 1.0",Medium,CVE-2024-20345,2024 Mar 06,1.0
